Ticker,Asset_Type,Status,Close,Historical_Return,Return_Period,Div_Yield,Vol_Ratio,ATR,Suggested_Stop
BNC,Common Stock,FAIL,4.68,-69.06,1Y,0.0,18.48,0.4,3.88
BJDX,Common Stock,FAIL,0.92,-82.24,1Y,0.0,14.84,0.09,0.74
FVAV,Common Stock,FAIL,10.2,,1Y,0.0,14.63,0.03,10.14
ACCL,Common Stock,FAIL,3.03,,1Y,0.0,12.05,0.13,2.77
CUPR,Common Stock,FAIL,3.07,-75.93,1Y,0.0,11.29,0.23,2.61
BRKHU,Common Stock,FAIL,10.09,,1Y,0.0,10.29,0.08,9.93
BWIV,Common Stock,FAIL,9.95,,1Y,0.0,9.94,0.03,9.89
BMR,Common Stock,FAIL,1.29,-54.7,1Y,0.0,8.53,0.08,1.13
BNR,Common Stock,FAIL,11.8,20.74,1Y,0.0,8.16,1.12,9.56
CTNT,Common Stock,FAIL,1.18,-99.64,1Y,0.0,7.78,0.07,1.04
DYN,Common Stock,FAIL,19.64,52.94,1Y,0.0,7.16,1.36,16.92
BLIV,Common Stock,FAIL,2.16,-40.7,1Y,0.0,6.82,0.1,1.96
CURX,Common Stock,FAIL,4.3,-96.76,1Y,0.0,5.89,0.67,2.96
CIMN,Common Stock,FAIL,25.14,8.44,1Y,0.0,5.45,0.1,24.94
CRAQU,Common Stock,FAIL,10.48,2.75,1Y,0.0,5.26,0.04,10.4
BUSEP,Common Stock,FAIL,26.19,2.25,1Y,0.0,4.79,0.23,25.73
DXR,Common Stock,FAIL,10.9,-8.0,1Y,0.0,4.7,0.52,9.86
CYCN,Common Stock,FAIL,23.94,44.75,1Y,0.0,4.51,3.92,16.1
EAF,Common Stock,FAIL,6.14,-18.39,1Y,0.0,4.36,0.62,4.9
CEPF,Common Stock,FAIL,10.37,2.47,1Y,0.0,4.3,0.06,10.25
ANY,Common Stock,FAIL,2.43,-65.49,1Y,0.0,4.18,0.29,1.85
CV,Common Stock,FAIL,6.4,75.21,1Y,0.0,4.08,0.31,5.78
BNT,Common Stock,FAIL,38.79,-11.83,1Y,0.0,3.96,0.72,37.35
EGAN,Common Stock,FAIL,5.16,-33.88,1Y,0.0,3.96,0.42,4.32
BIPI,Common Stock,FAIL,16.27,-5.6,1Y,0.0,3.92,0.21,15.85
FCUV,Common Stock,FAIL,5.75,-94.27,1Y,0.0,3.86,2.99,-0.23
EXOZ,Common Stock,FAIL,6.69,-49.11,1Y,0.0,3.68,0.73,5.23
BAFN,Common Stock,FAIL,7.4,-11.07,1Y,0.0,3.66,0.68,6.04
CMSA,Common Stock,FAIL,19.55,-10.07,1Y,0.0,3.63,0.2,19.15
DAVA,Common Stock,FAIL,2.84,-69.36,1Y,0.0,3.58,0.15,2.54
ARL,Common Stock,FAIL,15.49,-8.24,1Y,0.0,3.56,0.56,14.37
AVX,Common Stock,FAIL,3.78,-86.21,1Y,0.0,3.51,0.39,3.0
CZWI,Common Stock,FAIL,22.04,36.51,1Y,0.0,3.5,0.54,20.96
CINT,Common Stock,FAIL,3.1,-35.86,1Y,0.0,3.48,0.24,2.62
BCSS,Common Stock,FAIL,10.29,,1Y,0.0,3.46,0.04,10.21
CNF,Common Stock,FAIL,2.04,-35.58,1Y,0.0,3.45,0.1,1.84
COE,Common Stock,FAIL,12.25,-72.41,1Y,0.0,3.44,1.1,10.05
BEAM,Common Stock,FAIL,25.3,34.96,1Y,0.0,3.4,1.93,21.44
BRLT,Common Stock,FAIL,1.45,-46.22,1Y,0.0,3.35,0.09,1.27
ATNM,Common Stock,FAIL,1.24,-23.6,1Y,0.0,3.19,0.06,1.12
BENF,Common Stock,FAIL,1.67,-58.56,1Y,0.0,3.18,0.18,1.31
CDZIP,Common Stock,FAIL,22.16,29.23,1Y,0.0,3.18,0.24,21.68
EAI,Common Stock,FAIL,19.54,,1Y,0.0,3.18,0.19,19.16
ALKT,Common Stock,FAIL,18.73,-23.06,1Y,0.0,3.1,0.69,17.35
BCRX,Common Stock,FAIL,9.15,13.23,1Y,0.0,3.07,0.37,8.41
FTEK,Common Stock,FAIL,1.66,-48.11,1Y,0.0,3.01,0.07,1.52
FUND,Common Stock,FAIL,10.73,36.5,1Y,0.0,2.97,0.19,10.35
APMCU,Common Stock,FAIL,10.06,,1Y,0.0,2.96,0.02,10.02
ARXS,Common Stock,FAIL,52.77,,1Y,0.0,2.94,2.15,48.47
FBYD,Common Stock,FAIL,7.58,-10.33,1Y,0.0,2.93,0.88,5.82
BSEM,Common Stock,FAIL,4.2,-31.39,1Y,0.0,2.92,0.38,3.44
ENOV,Common Stock,FAIL,19.23,-34.41,1Y,0.0,2.9,1.36,16.51
CMND,Common Stock,FAIL,1.08,-99.75,1Y,0.0,2.86,0.18,0.72
AAPG,Common Stock,FAIL,17.31,-54.99,1Y,0.0,2.84,0.78,15.75
CMCM,Common Stock,FAIL,3.47,-52.71,1Y,0.0,2.84,0.17,3.13
FGBIP,Common Stock,FAIL,18.25,4.37,1Y,0.0,2.83,0.16,17.93
ATLX,Common Stock,FAIL,3.31,-29.81,1Y,0.0,2.77,0.16,2.99
AMGN,Common Stock,FAIL,390.62,45.09,1Y,0.0,2.75,11.99,366.64
ALLR,Common Stock,FAIL,1.28,-30.94,1Y,0.0,2.69,0.1,1.08
EVMN,Common Stock,FAIL,10.97,,1Y,0.0,2.68,0.83,9.31
CCXIU,Common Stock,FAIL,14.4,,1Y,0.0,2.65,1.0,12.4
CASY,Common Stock,FAIL,619.64,36.68,1Y,0.0,2.63,26.43,566.78
AOUT,Common Stock,FAIL,14.45,68.8,1Y,0.0,2.62,0.95,12.55
AEAQ,Common Stock,FAIL,10.08,,1Y,0.0,2.61,0.01,10.06
ARQT,Common Stock,FAIL,24.01,38.82,1Y,0.0,2.61,0.93,22.15
CLNN,Common Stock,FAIL,3.54,-44.05,1Y,0.0,2.58,0.35,2.84
EP,Common Stock,FAIL,2.47,-36.92,1Y,0.0,2.58,0.22,2.03
FGL,Common Stock,FAIL,6.36,-99.94,1Y,0.0,2.58,6.27,-6.18
CBC,Common Stock,FAIL,31.93,,1Y,0.0,2.56,0.91,30.11
FISV,Common Stock,FAIL,49.09,-62.72,1Y,0.0,2.54,1.51,46.07
EPSM,Common Stock,FAIL,1.44,-96.54,1Y,0.0,2.52,0.12,1.2
AMBA,Common Stock,FAIL,67.47,-23.95,1Y,0.0,2.51,3.59,60.29
FWONA,Common Stock,FAIL,88.23,-2.61,1Y,0.0,2.51,2.12,83.99
CCZ,Common Stock,FAIL,64.67,9.41,1Y,0.0,2.5,0.33,64.01
BIPH,Common Stock,FAIL,15.5,-5.53,1Y,0.0,2.49,0.21,15.08
BRFH,Common Stock,FAIL,1.23,-58.08,1Y,0.0,2.48,0.08,1.07
DDT,Common Stock,FAIL,26.08,7.37,1Y,0.0,2.47,0.16,25.76
FLC,Common Stock,FAIL,16.46,1.81,1Y,0.0,2.47,0.11,16.24
CHA,Common Stock,FAIL,12.42,-21.0,1Y,0.0,2.46,0.52,11.38
ARKR,Common Stock,FAIL,4.85,-31.69,1Y,0.0,2.44,0.31,4.23
BSET,Common Stock,FAIL,18.09,15.52,1Y,0.0,2.44,0.55,16.99
AWRE,Common Stock,FAIL,1.18,-54.95,1Y,0.0,2.42,0.09,1.0
DPC,Common Stock,FAIL,40.54,,1Y,0.0,2.42,3.07,34.4
BRZE,Common Stock,FAIL,24.58,0.76,1Y,0.0,2.41,1.61,21.36
DTG,Common Stock,FAIL,15.55,-9.91,1Y,0.0,2.4,0.22,15.11
AGNC,Common Stock,FAIL,10.6,19.31,1Y,0.0,2.38,0.16,10.28
ACGL,Common Stock,FAIL,96.0,5.64,1Y,0.0,2.35,1.76,92.48
ANAB,Common Stock,FAIL,56.16,272.7,1Y,0.0,2.33,2.52,51.12
CLLS,Common Stock,FAIL,3.07,3.61,1Y,0.0,2.32,0.21,2.65
EOT,Common Stock,FAIL,16.72,6.52,1Y,0.0,2.32,0.31,16.1
ALB,Common Stock,FAIL,125.97,79.11,1Y,0.0,2.3,5.97,114.03
